51: 3842392835257158193083580416.000000
52: 14934583472886312976485711872.000000
53: 58078935727891217133879689216.000000
54: 225979859013976735760869490688.000000
55: 879707308304409435681023066112.000000
56: 3426228463922436749508978147328.000000
57: 13350476428387425954755774513152.000000
58: 52044230144561152028877615267840.000000
59: 202972497563788492908224653033472.000000
60: 791925482298060021554037628338176.000000
61: 3091063979292427825893242853916672.000000
62: 12069868871522813415741155400744960.000000
63: 47147925279385989903761144656429056.000000
64: 184239584937908329787197235262390272.000000
65: 720209286575459834621042428888481792.000000
66: 2816340792280156368333600318459740160.000000
67: 11016862510978258735511530799445835776.000000
68: 43109461999480142875582247683468820480.000000
69: 168742751255107987820032148617763487744.000000
70: 660711054210141135433215091420958818304.000000
71: 2587784962323052780431386821337330745344.000000
72: 10138445194854699934503072903723327946752.000000
73: 39731744682538688931841976946076132835328.000000
74: 155748439155551660619620757363950729822208.000000
75: 610697827215189406131671411072681254060032.000000
76: 2395204465181651956476193425080353915142144.000000
77: 9396571363404942290442491758118706943623168.000000
78: 36872621805766229240808534949380230779764736.000000
79: 144725040587632449775250988118698848344342528.000000
80: 568179788973668136151823462523212653974781952.000000
81: 2231145024994160242119611635274580868282187776.000000
82: 8763292507808388420627889246992907395997368320.000000
83: 34427220566390097367238755628619964163700031488.000000
84: 135278725519697559067027746602543531758500970496.000000
85: 531676851461136918175011721636579777884930965504.000000
86: 2090040036778262368020177985058076185504499367936.000000
87: 8217657417332713401407836819069288101380234412032.000000
88: 32316630292881457197003457369455664902595242098688.000000
89: 127112079152000398307199478506343031762343923023872.000000
90: 500067300400177391160216743559992168510010519715840.000000
91: 1967656116792002343417396914327275043082764856328192.000000
92: 7743678911245944706341867903040939629977876014563328.000000
93: 30480438267670207886802892194377497150671706023526400.000000
94: 119996672759038502628045070323128251940539137397882880.000000
95: 472486898988714104074562128533910767687485620022673408.000000
96: 1860721602202977193334112302677332941242571680636731392.000000
97: 7328964678064787720727421834895423386801735119098871808.000000
98: 28871679034800678900520051953477230609805766227503611904.000000
99: 113754415397114674864380335428333920793420211449990479872.000000
100: 448259973545065748492535178049645063832322555517025124352.000000
